slot,time,hour,mean,q05,q95
13,03:15,14,0.0005114964782622966,0.0,0.004521866780579059
13,03:15,15,0.00021092615249041359,0.0,0.0
13,03:15,16,0.00005262622671795593,0.0,0.0
13,03:15,17,0.000027438099785724792,0.0,0.0
13,03:15,18,0.000020100930505559016,0.0,0.0
13,03:15,19,0.000013081209003839613,0.0,0.0
13,03:15,20,6.346911150831192e-6,0.0,0.0
13,03:15,21,0.0,0.0,0.0
13,03:15,22,0.0,0.0,0.0
13,03:15,23,0.0,0.0,0.0
14,03:30,0,0.0214545540933119,0.0,0.09406835913859182
14,03:30,1,0.042034935338834636,0.0,0.1277120070280373
14,03:30,2,0.07192262418659362,0.0,0.22150654859605767
14,03:30,3,0.10370388355369936,0.0,0.29276253516024175
14,03:30,4,0.12894657299244544,0.0138348603053009,0.20752522414158314
14,03:30,5,0.20569735186161928,0.09325697029658811,0.45362305187322916
14,03:30,6,0.20245225065230596,0.011751996754727045,0.494213115692795
14,03:30,7,0.10293252148961213,0.0,0.19911138295852676
14,03:30,8,0.05553794147861046,0.0,0.1347265663552496
14,03:30,9,0.03323846501705475,0.0,0.0900960789076648
14,03:30,10,0.018744721032074547,0.0,0.05600197807219112
14,03:30,11,0.00842771442299191,0.0,0.03269941544987248
14,03:30,12,0.002953670285801142,0.0,0.019165922044765388
14,03:30,13,0.0010495582430430808,0.0,0.012067927273959472
14,03:30,14,0.0005379401056737228,0.0,0.005379827290506595
14,03:30,15,0.0002333822383218952,0.0,0.0
14,03:30,16,0.00007221641157533398,0.0,0.0
14,03:30,17,0.000025739482453747534,0.0,0.0
14,03:30,18,0.000018317260592731524,0.0,0.0
14,03:30,19,0.000011221394798840614,0.0,0.0
14,03:30,20,4.418458581626851e-6,0.0,0.0
14,03:30,21,0.0,0.0,0.0
14,03:30,22,0.0,0.0,0.0
14,03:30,23,0.0,0.0,0.0
15,03:45,0,0.017255793074786693,0.0,0.0858196083701365
15,03:45,1,0.03480143199275088,0.0,0.11377163160751741
15,03:45,2,0.06368648817457687,0.0,0.19964494178151654
15,03:45,3,0.09676181515067923,0.0,0.2866533275663225
15,03:45,4,0.11825533739831318,0.0,0.23134256196181213
15,03:45,5,0.17861417452900907,0.09618926988137945,0.3170769556581051
15,03:45,6,0.22945243140309995,0.03827274818869725,0.6245335030960415
15,03:45,7,0.12322770583179102,0.0,0.23998877908310734
15,03:45,8,0.06344070829187036,0.0,0.14645959462058455
15,03:45,9,0.03707669237403147,0.0,0.09964997868982284
15,03:45,10,0.021603511105071173,0.0,0.06284727835550766
15,03:45,11,0.009951193310456621,0.0,0.03545649263523121
15,03:45,12,0.003610839373660703,0.0,0.021040094070669035
15,03:45,13,0.0012563785369829315,0.0,0.0131759927021467
15,03:45,14,0.0005855247355422775,0.0,0.006391397374221619
15,03:45,15,0.00026113516907626434,0.0,0.0
15,03:45,16,0.00009273895056414689,0.0,0.0
15,03:45,17,0.000027462852285134183,0.0,0.0
15,03:45,18,0.000019953089080313598,0.0,0.0
15,03:45,19,0.000012778996506833479,0.0,0.0
15,03:45,20,5.90565985654893e-6,0.0,0.0
15,03:45,21,0.0,0.0,0.0
15,03:45,22,0.0,0.0,0.0
15,03:45,23,0.0,0.0,0.0
16,04:00,0,0.014347492775389017,0.0,0.07652697616143217
16,04:00,1,0.029498821201880295,0.0,0.10237163555280784
16,04:00,2,0.05561289862306065,0.0,0.17620903980389935
16,04:00,3,0.08787806785624191,0.0,0.2664478034674959
16,04:00,4,0.11060328008957535,0.0,0.2533977987451169
16,04:00,5,0.1515996167354144,0.0953284264114499,0.2258563385438761
16,04:00,6,0.24930873889047822,0.06349018954809621,0.7398367869374444
16,04:00,7,0.14232456990769432,0.0,0.2693503786406306
16,04:00,8,0.07294755008110024,0.0,0.15786321101437586
16,04:00,9,0.04177354651102847,0.0,0.10693146464405764
16,04:00,10,0.024762831481037004,0.0,0.06823722117495301
16,04:00,11,0.012221595224050778,0.0,0.04118700929801122
16,04:00,12,0.004554872272033214,0.0,0.024322849431136745
16,04:00,13,0.0014694285651933878,0.0,0.014408909715062035
16,04:00,14,0.0006283246291241655,0.0,0.00752400506783521
16,04:00,15,0.00029769525956705036,0.0,0.0009521957176281681
16,04:00,16,0.00010126558722990794,0.0,0.0
16,04:00,17,0.000028414651557603927,0.0,0.0
16,04:00,18,0.0000208147398444104,0.0,0.0
16,04:00,19,0.000013560245517609648,0.0,0.0
16,04:00,20,6.614672987100611e-6,0.0,0.0
16,04:00,21,0.0,0.0,0.0
16,04:00,22,0.0,0.0,0.0
16,04:00,23,0.0,0.0,0.0
17,04:15,0,0.012263573730347683,0.0,0.06907323329333975
17,04:15,1,0.024955323644080374,0.0,0.09420787763594325
17,04:15,2,0.048320685083373546,0.0,0.14195290023264923
17,04:15,3,0.07908720340552347,0.0,0.24504846578979114
17,04:15,4,0.1067688201994901,0.0,0.2746009195625413
17,04:15,5,0.13965503313786815,0.07961068911418412,0.19597186945409617
17,04:15,6,0.22949675930552405,0.08407520615243884,0.5919966661481293
17,04:15,7,0.17263089489541183,0.0,0.34929663317133486
17,04:15,8,0.0858982264921423,0.0,0.17822156108218035
17,04:15,9,0.04782375693851999,0.0,0.12179095748349783
17,04:15,10,0.028754157522898255,0.0,0.07952352191603193
