op,daytype,hour,from_state,p_to_high
1,sat,18,1,0.475210040807724
1,sat,18,2,0.00008135923417285085
1,sat,18,3,0.9666166305541992
1,sat,19,1,0.3220176100730896
1,sat,19,2,0.00003108811506535858
1,sat,19,3,0.9629194140434265
1,sat,20,1,0.24523890018463135
1,sat,20,2,0.000019423127014306374
1,sat,20,3,0.9380154609680176
1,sat,21,1,0.22399160265922546
1,sat,21,2,0.000031557570764562115
1,sat,21,3,0.8851191997528076
1,sat,22,1,0.20870435237884521
1,sat,22,2,0.00016308178601320833
1,sat,22,3,0.8546028137207031
1,sat,23,1,0.1592259407043457
1,sat,23,2,0.0018578401068225503
1,sat,23,3,0.9139589071273804
1,sun,0,1,0.006240759044885635
1,sun,0,2,0.2422206997871399
1,sun,0,3,0.8908707499504089
1,sun,1,1,0.0024700439535081387
1,sun,1,2,0.6178914904594421
1,sun,1,3,0.9490368962287903
1,sun,2,1,0.0010487270774319768
1,sun,2,2,0.667388916015625
1,sun,2,3,0.9692803621292114
1,sun,3,1,0.0007325459155254066
1,sun,3,2,0.33043381571769714
1,sun,3,3,0.9806945323944092
1,sun,4,1,0.001046295277774334
1,sun,4,2,0.04274044185876846
1,sun,4,3,0.9870953559875488
1,sun,5,1,0.0026031858287751675
1,sun,5,2,0.0026930952444672585
1,sun,5,3,0.9881803393363953
1,sun,6,1,0.007281215861439705
1,sun,6,2,0.0003622603544499725
1,sun,6,3,0.9784151911735535
1,sun,7,1,0.014165297150611877
1,sun,7,2,0.0002711863489821553
1,sun,7,3,0.9382773041725159
1,sun,8,1,0.013165418058633804
1,sun,8,2,0.0010582003742456436
1,sun,8,3,0.8145725727081299
1,sun,9,1,0.007399062626063824
1,sun,9,2,0.00811285711824894
1,sun,9,3,0.48448240756988525
1,sun,10,1,0.005433175712823868
1,sun,10,2,0.061597973108291626
1,sun,10,3,0.16332067549228668
1,sun,11,1,0.006040526553988457
1,sun,11,2,0.23703092336654663
1,sun,11,3,0.062413886189460754
1,sun,12,1,0.010057004168629646
1,sun,12,2,0.3509565591812134
1,sun,12,3,0.05407974123954773
1,sun,13,1,0.024401113390922546
1,sun,13,2,0.2452443689107895
1,sun,13,3,0.10568119585514069
1,sun,14,1,0.06199043244123459
1,sun,14,2,0.08354994654655457
1,sun,14,3,0.26299312710762024
1,sun,15,1,0.112874835729599
1,sun,15,2,0.01638065278530121
1,sun,15,3,0.47838035225868225
1,sun,16,1,0.12919242680072784
1,sun,16,2,0.00390841206535697
1,sun,16,3,0.6619656682014465
1,sun,17,1,0.09786660224199295
1,sun,17,2,0.0020063999108970165
1,sun,17,3,0.7790136933326721
1,sun,18,1,0.055367209017276764
1,sun,18,2,0.0011870978632941842
1,sun,18,3,0.8076284527778625
1,sun,19,1,0.030331246554851532
1,sun,19,2,0.0005396819324232638
1,sun,19,3,0.7768573760986328
1,sun,20,1,0.020934350788593292
1,sun,20,2,0.0003446999762672931
1,sun,20,3,0.7178283929824829
1,sun,21,1,0.018441487103700638
1,sun,21,2,0.0005601104348897934
1,sun,21,3,0.6455256342887878
1,sun,22,1,0.016586659476161003
1,sun,22,2,0.0028502540662884712
1,sun,22,3,0.6235885620117188
1,sun,23,1,0.012028288096189499
1,sun,23,2,0.030097130686044693
1,sun,23,3,0.7431131601333618
