model,variant,C,p_star_kind,kind,condition,bin,n,share,n_all,share_all
B4,main,C90,0.5,FP,op_next,1,8,1.0,38,0.7450980392156863
B4,main,C90,0.5,all,prev_day_max,q1,8,0.1568627450980392,8,0.1568627450980392
B4,main,C90,0.5,all,prev_day_max,q2,16,0.3137254901960784,16,0.3137254901960784
B4,main,C90,0.5,all,prev_day_max,q3,12,0.23529411764705882,12,0.23529411764705882
B4,main,C90,0.5,all,prev_day_max,q4,12,0.23529411764705882,12,0.23529411764705882
B4,main,C90,0.5,all,prev_day_max,unknown,3,0.058823529411764705,3,0.058823529411764705
B4,main,C90,0.5,FN,prev_day_max,q1,0,0.0,8,0.1568627450980392
B4,main,C90,0.5,FN,prev_day_max,q2,1,0.25,16,0.3137254901960784
B4,main,C90,0.5,FN,prev_day_max,q3,1,0.25,12,0.23529411764705882
B4,main,C90,0.5,FN,prev_day_max,q4,2,0.5,12,0.23529411764705882
B4,main,C90,0.5,FN,prev_day_max,unknown,0,0.0,3,0.058823529411764705
B4,main,C90,0.5,FP,prev_day_max,q1,0,0.0,8,0.1568627450980392
B4,main,C90,0.5,FP,prev_day_max,q2,2,0.25,16,0.3137254901960784
B4,main,C90,0.5,FP,prev_day_max,q3,3,0.375,12,0.23529411764705882
B4,main,C90,0.5,FP,prev_day_max,q4,3,0.375,12,0.23529411764705882
B4,main,C90,0.5,FP,prev_day_max,unknown,0,0.0,3,0.058823529411764705
B4,main,C90,0.5,all,temp_mean,q1,13,0.2549019607843137,13,0.2549019607843137
B4,main,C90,0.5,all,temp_mean,q2,12,0.23529411764705882,12,0.23529411764705882
B4,main,C90,0.5,all,temp_mean,q3,13,0.2549019607843137,13,0.2549019607843137
B4,main,C90,0.5,all,temp_mean,q4,13,0.2549019607843137,13,0.2549019607843137
B4,main,C90,0.5,FN,temp_mean,q1,2,0.5,13,0.2549019607843137
B4,main,C90,0.5,FN,temp_mean,q2,0,0.0,12,0.23529411764705882
B4,main,C90,0.5,FN,temp_mean,q3,1,0.25,13,0.2549019607843137
B4,main,C90,0.5,FN,temp_mean,q4,1,0.25,13,0.2549019607843137
