model,variant,fold,stratum,metric,value,n
B1,main,f2,nonop,cov80,0.32708333333333334,480
B1,main,f2,nonop,cov90,0.4125,480
B1,main,f3,all,mae,24.27608655324866,1344
B1,main,f3,all,rmse,29.7634217232374,1344
B1,main,f3,all,crps,17.978843927711296,1344
B1,main,f3,all,cov50,0.21577380952380953,1344
B1,main,f3,all,cov80,0.49404761904761907,1344
B1,main,f3,all,cov90,0.7671130952380952,1344
B1,main,f3,op,mae,35.91951075574854,768
B1,main,f3,op,rmse,39.26591667995856,768
B1,main,f3,op,crps,26.08843062547882,768
B1,main,f3,op,cov50,0.22916666666666666,768
B1,main,f3,op,cov80,0.4713541666666667,768
B1,main,f3,op,cov90,0.7994791666666666,768
B1,main,f3,nonop,mae,8.751520949915495,576
B1,main,f3,nonop,rmse,3.3555952207802138,576
B1,main,f3,nonop,crps,7.166061664021261,576
B1,main,f3,nonop,cov50,0.19791666666666666,576
B1,main,f3,nonop,cov80,0.5243055555555556,576
B1,main,f3,nonop,cov90,0.7239583333333334,576
B1,main,f4,all,mae,7.18748861930639,1272
B1,main,f4,all,rmse,10.651836183584045,1272
B1,main,f4,all,crps,5.478881801627209,1272
B1,main,f4,all,cov50,0.46540880503144655,1272
B1,main,f4,all,cov80,0.7602201257861635,1272
B1,main,f4,all,cov90,0.8844339622641509,1272
B1,main,f4,op,mae,7.905699989391367,1126
B1,main,f4,op,rmse,11.28288205429369,1126
B1,main,f4,op,crps,6.025824091842429,1126
B1,main,f4,op,cov50,0.4733570159857904,1126
B1,main,f4,op,cov80,0.7788632326820604,1126
B1,main,f4,op,cov90,0.8987566607460036,1126
B1,main,f4,nonop,mae,1.648406408924996,146
B1,main,f4,nonop,rmse,2.590173477884544,146
B1,main,f4,nonop,crps,1.260683042844071,146
B1,main,f4,nonop,cov50,0.4041095890410959,146
B1,main,f4,nonop,cov80,0.6164383561643836,146
B1,main,f4,nonop,cov90,0.773972602739726,146
B1,main,pooled,all,mae,13.903667130691833,5016
B1,main,pooled,all,rmse,19.519221579507427,5016
B1,main,pooled,all,crps,10.51577347134749,5016
B1,main,pooled,all,cov50,0.33811802232854865,5016
B1,main,pooled,all,cov80,0.6060606060606061,5016
B1,main,pooled,all,cov90,0.7689393939393939,5016
B1,main,pooled,op,mae,16.75030706249326,3622
B1,main,pooled,op,rmse,22.4668819788939,3622
B1,main,pooled,op,crps,12.524880938898914,3622
B1,main,pooled,op,cov50,0.36747653230259525,3622
B1,main,pooled,op,cov80,0.6399779127553837,3622
B1,main,pooled,op,cov90,0.8144671452236334,3622
B1,main,pooled,nonop,mae,6.5073042662838265,1394
B1,main,pooled,nonop,rmse,7.709414448393326,1394
B1,main,pooled,nonop,crps,5.295553064266245,1394
B1,main,pooled,nonop,cov50,0.2618364418938307,1394
B1,main,pooled,nonop,cov80,0.5179340028694405,1394
B1,main,pooled,nonop,cov90,0.6506456241032998,1394
B2,main,f1,all,mae,14.953358625372251,1152
B2,main,f1,all,rmse,20.013517165567624,1152
B2,main,f1,all,crps,11.033299051450378,1152
B2,main,f1,all,cov50,0.4331597222222222,1152
B2,main,f1,all,cov80,0.7534722222222222,1152
B2,main,f1,all,cov90,0.8793402777777778,1152
B2,main,f1,op,mae,17.24909714559714,960
B2,main,f1,op,rmse,21.848639270608412,960
B2,main,f1,op,crps,12.753308378799362,960
B2,main,f1,op,cov50,0.4864583333333333,960
B2,main,f1,op,cov80,0.7729166666666667,960
B2,main,f1,op,cov90,0.871875,960
B2,main,f1,nonop,mae,3.474666024247805,192
B2,main,f1,nonop,rmse,4.053396863491136,192
B2,main,f1,nonop,crps,2.4332524147054606,192
B2,main,f1,nonop,cov50,0.16666666666666666,192
B2,main,f1,nonop,cov80,0.65625,192
B2,main,f1,nonop,cov90,0.9166666666666666,192
B2,main,f2,all,mae,12.589561611413956,1248
B2,main,f2,all,rmse,17.53419195610271,1248
B2,main,f2,all,crps,9.297538851818246,1248
B2,main,f2,all,cov50,0.2980769230769231,1248
B2,main,f2,all,cov80,0.6065705128205128,1248
B2,main,f2,all,cov90,0.7972756410256411,1248
B2,main,f2,op,mae,18.024501250435907,768
B2,main,f2,op,rmse,22.059358260354223,768
B2,main,f2,op,crps,13.376051384114765,768
B2,main,f2,op,cov50,0.3919270833333333,768
B2,main,f2,op,cov80,0.70703125,768
B2,main,f2,op,cov90,0.8541666666666666,768
B2,main,f2,nonop,mae,3.893658188978831,480
B2,main,f2,nonop,rmse,4.5585138658487665,480
B2,main,f2,nonop,crps,2.7719188001438195,480
B2,main,f2,nonop,cov50,0.14791666666666667,480
B2,main,f2,nonop,cov80,0.44583333333333336,480
B2,main,f2,nonop,cov90,0.70625,480
B2,main,f3,all,mae,10.034008278023629,1344
B2,main,f3,all,rmse,16.5242012921524,1344
B2,main,f3,all,crps,7.882750093384639,1344
B2,main,f3,all,cov50,0.375,1344
B2,main,f3,all,cov80,0.7209821428571429,1344
B2,main,f3,all,cov90,0.8712797619047619,1344
B2,main,f3,op,mae,15.256623055785894,768
B2,main,f3,op,rmse,21.62088417488681,768
B2,main,f3,op,crps,12.187051494292254,768
B2,main,f3,op,cov50,0.515625,768
B2,main,f3,op,cov80,0.81640625,768
B2,main,f3,op,cov90,0.8763020833333334,768
B2,main,f3,nonop,mae,3.0705219076739416,576
B2,main,f3,nonop,rmse,3.7190531227501897,576
B2,main,f3,nonop,crps,2.1436815588411533,576
B2,main,f3,nonop,cov50,0.1875,576
B2,main,f3,nonop,cov80,0.59375,576
B2,main,f3,nonop,cov90,0.8645833333333334,576
B2,main,f4,all,mae,12.695911023601797,1272
B2,main,f4,all,rmse,18.108209287722637,1272
B2,main,f4,all,crps,9.832326256701814,1272
B2,main,f4,all,cov50,0.49842767295597484,1272
B2,main,f4,all,cov80,0.8168238993710691,1272
B2,main,f4,all,cov90,0.9127358490566038,1272
B2,main,f4,op,mae,14.041067224201047,1126
B2,main,f4,op,rmse,19.215774988880643,1126
B2,main,f4,op,crps,10.891542127915574,1126
B2,main,f4,op,cov50,0.5177619893428064,1126
B2,main,f4,op,cov80,0.8285968028419183,1126
B2,main,f4,op,cov90,0.9174067495559503,1126
B2,main,f4,nonop,mae,2.321624161445931,146
B2,main,f4,nonop,rmse,3.0148131825003466,146
B2,main,f4,nonop,crps,1.663305222546358,146
B2,main,f4,nonop,cov50,0.3493150684931507,146
B2,main,f4,nonop,cov80,0.726027397260274,146
B2,main,f4,nonop,cov90,0.8767123287671232,146
B2,main,pooled,all,mae,12.474670648955081,5016
B2,main,pooled,all,rmse,18.022194262236802,5016
B2,main,pooled,all,crps,9.452716132052167,5016
B2,main,pooled,all,cov50,0.400518341307815,5016
B2,main,pooled,all,cov80,0.7242822966507177,5016
B2,main,pooled,all,cov90,0.8652312599681021,5016
B2,main,pooled,op,mae,15.993726786692982,3622
B2,main,pooled,op,rmse,21.062155682443287,3622
B2,main,pooled,op,crps,12.186503448453038,3622
B2,main,pooled,op,cov50,0.4823302043070127,3622
B2,main,pooled,op,cov80,0.7854776366648261,3622
B2,main,pooled,op,cov90,0.8832136940916621,3622
B2,main,pooled,nonop,mae,3.331183324072248,1394
B2,main,pooled,nonop,rmse,4.010643827523441,1394
B2,main,pooled,nonop,crps,2.3495757733692644,1394
B2,main,pooled,nonop,cov50,0.18794835007173602,1394
B2,main,pooled,nonop,cov80,0.5652797704447633,1394
B2,main,pooled,nonop,cov90,0.8185078909612625,1394
B3,main,f1,all,mae,10.983617840541733,1152
B3,main,f1,all,rmse,15.645641712552093,1152
B3,main,f1,all,crps,8.22513858180414,1152
B3,main,f1,all,cov50,0.5859375,1152
B3,main,f1,all,cov80,0.8446180555555556,1152
B3,main,f1,all,cov90,0.9088541666666666,1152
B3,main,f1,op,mae,12.952665705482165,960
B3,main,f1,op,rmse,17.122241352197097,960
B3,main,f1,op,crps,9.674000589670678,960
B3,main,f1,op,cov50,0.5541666666666667,960
B3,main,f1,op,cov80,0.8197916666666667,960
B3,main,f1,op,cov90,0.89375,960
B3,main,f1,nonop,mae,1.1383785158395767,192
B3,main,f1,nonop,rmse,1.6914144881899398,192
B3,main,f1,nonop,crps,0.9808285424714548,192
B3,main,f1,nonop,cov50,0.7447916666666666,192
B3,main,f1,nonop,cov80,0.96875,192
B3,main,f1,nonop,cov90,0.984375,192
B3,main,f2,all,mae,9.990299847645637,1248
B3,main,f2,all,rmse,14.703283061093439,1248
B3,main,f2,all,crps,7.577315479955642,1248
B3,main,f2,all,cov50,0.35336538461538464,1248
B3,main,f2,all,cov80,0.6602564102564102,1248
B3,main,f2,all,cov90,0.8301282051282052,1248
B3,main,f2,op,mae,14.300396806250015,768
B3,main,f2,op,rmse,18.456056074233956,768
B3,main,f2,op,crps,10.886289981440674,768
B3,main,f2,op,cov50,0.421875,768
B3,main,f2,op,cov80,0.73046875,768
B3,main,f2,op,cov90,0.85546875,768
B3,main,f2,nonop,mae,3.0941447138786318,480
B3,main,f2,nonop,rmse,4.133204073068223,480
B3,main,f2,nonop,crps,2.282956277579592,480
B3,main,f2,nonop,cov50,0.24375,480
B3,main,f2,nonop,cov80,0.5479166666666667,480
B3,main,f2,nonop,cov90,0.7895833333333333,480
