fold,start,candidate,seed,mae,crps,brier_mean,n_slots,n_days,phi_mean,pc_rate,epoch,tau,half_life,brier_C50,brier_n_C50,events_C50,calibration_C50,brier_C75,brier_n_C75,events_C75,calibration_C75,brier_C90,brier_n_C90,events_C90,calibration_C90
ar4,2021-07-22,B4-PC,2,8.799885577880419,6.825861836568064,0.09713102395388667,1248,13,0.5550841093063354,5.585301205481888,300,0.1,30,4.81155046747904e-9,13,6,ok,3.026885173950945e-7,13,6,ok,0.29139276436159217,13,6,ok
ar5,2021-07-29,B1,0,15.72261722427811,12.36235567326242,0.08607066567330439,1248,13,NaN,0.0,100,0.1,30,0.0321427979355484,13,4,ok,0.1090526464472931,13,3,ok,0.11701655263707167,13,3,ok
ar5,2021-07-29,B3,0,6.7070820438556185,5.123526772832581,0.04616333859961461,1248,13,0.0,0.0,300,0.1,30,4.091283694318679e-9,13,4,ok,0.07684160267299146,13,3,ok,0.061648409034568696,13,3,ok
ar5,2021-07-29,B4,0,6.6248011489709215,4.832086066149387,0.04639576570666404,1248,13,0.8815924525260925,0.0,300,0.1,30,2.807402907755803e-10,13,4,ok,0.07686153581821234,13,3,ok,0.06232576102103947,13,3,ok
ar5,2021-07-29,B4-low,0,6.518169023287602,4.988591398655685,0.04667798736400658,1248,13,0.5703592300415039,0.0,300,0.1,30,3.018330449290113e-8,13,4,ok,0.07686063393148825,13,3,ok,0.063173297977227,13,3,ok
ar5,2021-07-29,B4-PC,0,6.518032763248835,4.9886574461605715,0.04667256003404119,1248,13,0.5702574253082275,5.585301205481888,300,0.1,30,3.094991097221352e-8,13,4,ok,0.07686045599005778,13,3,ok,0.06315719316215483,13,3,ok
ar5,2021-07-29,B3,1,6.591511539159677,5.032272596925135,0.04612318175158924,1248,13,0.0,0.0,300,0.1,30,3.604289995027282e-9,13,4,ok,0.07684185998367257,13,3,ok,0.06152768166680515,13,3,ok
ar5,2021-07-29,B4,1,7.042923145569288,5.134473096594395,0.051260378935890916,1248,13,0.910125195980072,0.0,300,0.1,30,3.2922199724105993e-10,13,4,ok,0.07689056823922538,13,3,ok,0.07689056823922538,13,3,ok
ar5,2021-07-29,B4-low,1,6.762290033010336,5.1404930957082,0.046708209971712066,1248,13,0.36037588119506836,0.0,300,0.1,30,2.1348983193566715e-7,13,4,ok,0.07677827285909224,13,3,ok,0.06334614356621203,13,3,ok
ar5,2021-07-29,B4-PC,1,6.7624394091276026,5.140604905158523,0.046713981504273194,1248,13,0.36031922698020935,5.585301205481888,300,0.1,30,2.1348983193566715e-7,13,4,ok,0.07677827285909224,13,3,ok,0.06336345816389541,13,3,ok
