model,variant,fold,stratum,metric,value,n
B0,main,f1,all,brier_mean_raw,0.13888888888888887,12
B0,main,f1,op,peak_mae,10.1,10
B0,main,f1,op,peak_hit2,0.2,10
B0,main,f1,op,brier_raw_C50,0.0,10
B0,main,f1,op,auc_C50,1.0,10
B0,main,f1,op,n_events_C50,8.0,10
B0,main,f1,op,brier_raw_C75,0.2,10
B0,main,f1,op,auc_C75,0.875,10
B0,main,f1,op,n_events_C75,8.0,10
B0,main,f1,op,brier_raw_C90,0.3,10
B0,main,f1,op,auc_C90,0.6666666666666666,10
B0,main,f1,op,n_events_C90,4.0,10
B0,main,f1,op,brier_mean_raw,0.16666666666666666,10
B0,main,f1,nonop,peak_mae,0.0,2
B0,main,f1,nonop,peak_hit2,0.0,2
B0,main,f1,nonop,brier_raw_C50,0.0,2
B0,main,f1,nonop,auc_C50,NaN,2
B0,main,f1,nonop,n_events_C50,0.0,2
B0,main,f1,nonop,brier_raw_C75,0.0,2
B0,main,f1,nonop,auc_C75,NaN,2
B0,main,f1,nonop,n_events_C75,0.0,2
B0,main,f1,nonop,brier_raw_C90,0.0,2
B0,main,f1,nonop,auc_C90,NaN,2
B0,main,f1,nonop,n_events_C90,0.0,2
B0,main,f1,nonop,brier_mean_raw,0.0,2
B0,main,f2,all,peak_mae,39.07692307692308,13
B0,main,f2,all,peak_hit2,0.07692307692307693,13
B0,main,f2,all,brier_raw_C50,0.15384615384615385,13
B0,main,f2,all,auc_C50,0.8333333333333334,13
B0,main,f2,all,n_events_C50,7.0,13
B0,main,f2,all,brier_raw_C75,0.15384615384615385,13
B0,main,f2,all,auc_C75,0.8333333333333334,13
B0,main,f2,all,n_events_C75,7.0,13
B0,main,f2,all,brier_raw_C90,0.3076923076923077,13
B0,main,f2,all,auc_C90,0.6904761904761905,13
B0,main,f2,all,n_events_C90,7.0,13
B0,main,f2,all,brier_mean_raw,0.20512820512820512,13
B0,main,f2,op,peak_mae,6.75,8
B0,main,f2,op,peak_hit2,0.125,8
B0,main,f2,op,brier_raw_C50,0.0,8
B0,main,f2,op,auc_C50,1.0,8
B0,main,f2,op,n_events_C50,7.0,8
B0,main,f2,op,brier_raw_C75,0.0,8
B0,main,f2,op,auc_C75,1.0,8
B0,main,f2,op,n_events_C75,7.0,8
B0,main,f2,op,brier_raw_C90,0.25,8
B0,main,f2,op,auc_C90,0.8571428571428571,8
B0,main,f2,op,n_events_C90,7.0,8
B0,main,f2,op,brier_mean_raw,0.08333333333333333,8
B0,main,f2,nonop,peak_mae,90.8,5
B0,main,f2,nonop,peak_hit2,0.0,5
B0,main,f2,nonop,brier_raw_C50,0.4,5
B0,main,f2,nonop,auc_C50,NaN,5
B0,main,f2,nonop,n_events_C50,0.0,5
B0,main,f2,nonop,brier_raw_C75,0.4,5
B0,main,f2,nonop,auc_C75,NaN,5
B0,main,f2,nonop,n_events_C75,0.0,5
B0,main,f2,nonop,brier_raw_C90,0.4,5
B0,main,f2,nonop,auc_C90,NaN,5
B0,main,f2,nonop,n_events_C90,0.0,5
B0,main,f2,nonop,brier_mean_raw,0.4,5
B0,main,f3,all,peak_mae,100.71428571428571,14
B0,main,f3,all,peak_hit2,0.0,14
B0,main,f3,all,brier_raw_C50,0.5714285714285714,14
B0,main,f3,all,auc_C50,0.3958333333333333,14
B0,main,f3,all,n_events_C50,6.0,14
B0,main,f3,all,brier_raw_C75,0.5,14
B0,main,f3,all,auc_C75,0.35,14
B0,main,f3,all,n_events_C75,4.0,14
B0,main,f3,all,brier_raw_C90,0.35714285714285715,14
B0,main,f3,all,auc_C90,0.375,14
B0,main,f3,all,n_events_C90,2.0,14
B0,main,f3,all,brier_mean_raw,0.4761904761904762,14
B0,main,f3,op,peak_mae,129.0,8
B0,main,f3,op,peak_hit2,0.0,8
B0,main,f3,op,brier_raw_C50,0.75,8
B0,main,f3,op,auc_C50,0.3333333333333333,8
B0,main,f3,op,n_events_C50,6.0,8
B0,main,f3,op,brier_raw_C75,0.625,8
B0,main,f3,op,auc_C75,0.375,8
B0,main,f3,op,n_events_C75,4.0,8
B0,main,f3,op,brier_raw_C90,0.375,8
B0,main,f3,op,auc_C90,0.4166666666666667,8
B0,main,f3,op,n_events_C90,2.0,8
B0,main,f3,op,brier_mean_raw,0.5833333333333333,8
B0,main,f3,nonop,peak_mae,63.0,6
B0,main,f3,nonop,peak_hit2,0.0,6
B0,main,f3,nonop,brier_raw_C50,0.3333333333333333,6
B0,main,f3,nonop,auc_C50,NaN,6
B0,main,f3,nonop,n_events_C50,0.0,6
B0,main,f3,nonop,brier_raw_C75,0.3333333333333333,6
B0,main,f3,nonop,auc_C75,NaN,6
B0,main,f3,nonop,n_events_C75,0.0,6
B0,main,f3,nonop,brier_raw_C90,0.3333333333333333,6
B0,main,f3,nonop,auc_C90,NaN,6
B0,main,f3,nonop,n_events_C90,0.0,6
B0,main,f3,nonop,brier_mean_raw,0.3333333333333333,6
B0,main,f4,all,peak_mae,11.166666666666666,12
B0,main,f4,all,peak_hit2,0.16666666666666666,12
B0,main,f4,all,brier_raw_C50,0.08333333333333333,12
B0,main,f4,all,auc_C50,0.95,12
B0,main,f4,all,n_events_C50,10.0,12
B0,main,f4,all,brier_raw_C75,0.5,12
B0,main,f4,all,auc_C75,0.3,12
B0,main,f4,all,n_events_C75,2.0,12
B0,main,f4,all,brier_raw_C90,0.08333333333333333,12
B0,main,f4,all,auc_C90,NaN,12
B0,main,f4,all,n_events_C90,0.0,12
B0,main,f4,all,brier_mean_raw,0.22222222222222224,12
B0,main,f4,op,peak_mae,12.090909090909092,11
B0,main,f4,op,peak_hit2,0.09090909090909091,11
B0,main,f4,op,brier_raw_C50,0.09090909090909091,11
B0,main,f4,op,auc_C50,0.95,11
B0,main,f4,op,n_events_C50,10.0,11
B0,main,f4,op,brier_raw_C75,0.5454545454545454,11
B0,main,f4,op,auc_C75,0.2777777777777778,11
B0,main,f4,op,n_events_C75,2.0,11
B0,main,f4,op,brier_raw_C90,0.09090909090909091,11
B0,main,f4,op,auc_C90,NaN,11
B0,main,f4,op,n_events_C90,0.0,11
B0,main,f4,op,brier_mean_raw,0.2424242424242424,11
B0,main,f4,nonop,peak_mae,1.0,1
B0,main,f4,nonop,peak_hit2,1.0,1
B0,main,f4,nonop,brier_raw_C50,0.0,1
