model,scheme,date,event_id,abs_sum,n_obs,event_days,mae
M2,loeo,2021-01-01,E000,1571.9053068714097,96,1,16.37401361324385
M2,loeo,2021-01-02,E001,2950.901342203003,96,7,30.738555647947948
M2,loeo,2021-01-03,E002,2965.061225217467,96,2,30.886054429348615
M2,loeo,2021-01-04,E003,3367.26964247893,96,4,35.07572544248885
M2,loeo,2021-01-05,E004,2840.788986521394,96,15,29.591551942931186
M2,loeo,2021-01-06,E004,2195.698010806103,96,15,22.871854279230238
M2,loeo,2021-01-07,E005,2608.3003082987716,96,2,27.169794878112203
M2,loeo,2021-01-08,E006,4586.875850017329,96,4,47.77995677101384
M2,loeo,2021-01-09,E007,3590.5333840644694,96,1,37.40138941733822
M2,loeo,2021-01-10,E008,4829.600423375666,96,1,50.308337743496516
M2,loeo,2021-01-11,E009,787.105972703722,96,4,8.199020548997105
M2,loeo,2021-01-12,E004,1987.8161656455732,96,15,20.706418392141387
M2,loeo,2021-01-13,E004,667.470077165036,96,15,6.952813303802458
M2,loeo,2021-01-14,E010,1846.7620816913682,96,3,19.23710501761842
M2,loeo,2021-01-15,E011,1157.529431908259,96,4,12.057598249044366
M2,loeo,2021-01-16,E012,4847.572096302675,96,1,50.495542669819535
M2,loeo,2021-01-17,E013,3568.2821035309757,96,4,37.16960524511433
M2,loeo,2021-01-18,E014,915.2413689927503,96,4,9.53376426034115
M2,loeo,2021-01-19,E004,2696.388116378736,96,15,28.0873762122785
M2,loeo,2021-01-20,E004,2182.678655944036,96,15,22.736235999417044
M2,loeo,2021-01-21,E015,1893.5537549727205,96,2,19.72451828096584
M2,loeo,2021-01-22,E016,926.3163323338226,96,4,9.649128461810653
M2,loeo,2021-01-23,E017,3832.94784637845,96,4,39.926540066442186
M2,loeo,2021-01-24,E018,1775.4991957994037,96,4,18.49478328957712
M2,loeo,2021-01-25,E019,1023.2708645628022,96,4,10.659071505862522
M2,loeo,2021-01-26,E004,3154.7214752877644,96,15,32.86168203424754
M2,loeo,2021-01-27,E004,1133.0649251225113,96,15,11.802759636692826
M2,loeo,2021-01-28,E020,1163.7940801437196,96,2,12.12285500149708
M2,loeo,2021-01-29,E021,801.1878153165603,96,3,8.345706409547503
M2,loeo,2021-01-30,E022,2174.547360731956,96,3,22.651535007624542
M2,loeo,2021-01-31,E004,10203.187029956214,96,15,106.28319822871056
M2,loeo,2021-02-01,E023,1486.0560745476087,96,3,15.47975077653759
M2,loeo,2021-02-02,E024,967.2115051788006,96,3,10.075119845612507
M2,loeo,2021-02-03,E025,1118.7825723921792,96,3,11.6539851290852
M2,loeo,2021-02-04,E003,1497.8408115364136,96,4,15.602508453504308
M2,loeo,2021-02-05,E001,7915.430655495304,96,7,82.45240266140941
M2,loeo,2021-02-06,E026,6111.78255431958,96,6,63.66440160749563
M2,loeo,2021-02-07,E027,4544.839499645977,96,5,47.34207812131226
M2,loeo,2021-02-08,E006,919.080095386013,96,4,9.573750993604301
M2,loeo,2021-02-09,E028,885.9553191405091,96,3,9.22870124104697
M2,loeo,2021-02-10,E029,2668.1245244312213,96,3,27.792963796158556
M2,loeo,2021-02-11,E009,4408.368316406697,96,4,45.920503295903096
M2,loeo,2021-02-12,E026,1817.1255569555456,96,6,18.928391218286933
M2,loeo,2021-02-13,E026,1984.3841050007563,96,6,20.670667760424546
M2,loeo,2021-02-14,E027,921.025229416987,96,5,9.594012806426948
M2,loeo,2021-02-15,E011,1597.550781434652,96,4,16.641153973277625
M2,loeo,2021-02-16,E030,729.3026617393617,96,3,7.596902726451685
M2,loeo,2021-02-17,E013,1138.001979204944,96,4,11.854187283384833
M2,loeo,2021-02-18,E014,721.0138045933286,96,4,7.51056046451384
M2,loeo,2021-02-19,E031,7490.917950429179,96,2,78.03039531697061
M2,loeo,2021-02-20,E026,2307.3842042846245,96,6,24.03525212796484
M2,loeo,2021-02-21,E027,7549.090949040327,96,5,78.63636405250341
M2,loeo,2021-02-22,E016,1191.6270221339144,96,4,12.412781480561607
M2,loeo,2021-02-23,E017,886.6290109432911,96,4,9.235718863992615
M2,loeo,2021-02-24,E018,1083.1450425366922,96,4,11.28276085975721
M2,loeo,2021-02-25,E019,1250.8748383020416,96,4,13.029946232312932
M2,loeo,2021-02-26,E032,7071.665575113502,96,2,73.66318307409898
M2,loeo,2021-02-27,E026,3156.018822477387,96,6,32.87519606747278
M2,loeo,2021-02-28,E027,7467.769866556068,96,5,77.78926944329238
M2,loeo,2021-03-01,E023,5513.804542211277,96,3,57.43546398136747
M2,loeo,2021-03-02,E024,825.8335558011088,96,3,8.602432872928217
M2,loeo,2021-03-03,E025,648.834414147976,96,3,6.758691814041416
M2,loeo,2021-03-04,E003,709.1735290147476,96,4,7.387224260570288
M2,loeo,2021-03-05,E004,3524.620095745533,96,15,36.71479266401597
M2,loeo,2021-03-06,E001,487.98371401760187,96,7,5.083163687683353
M2,loeo,2021-03-07,E033,7782.484114519179,96,1,81.06754285957477
M2,loeo,2021-03-08,E006,803.624706213946,96,4,8.371090689728604
M2,loeo,2021-03-09,E028,690.2789781391137,96,3,7.190406022282435
M2,loeo,2021-03-10,E029,987.9622909493272,96,3,10.291273864055492
M2,loeo,2021-03-11,E009,589.0872145324058,96,4,6.136325151379228
M2,loeo,2021-03-12,E004,2575.1698119314815,96,15,26.82468554095293
M2,loeo,2021-03-13,E001,2541.769812990189,96,7,26.47676888531447
M2,loeo,2021-03-14,E010,2382.6852924401037,96,3,24.819638462917748
M2,loeo,2021-03-15,E011,835.5600062346043,96,4,8.703750064943796
M2,loeo,2021-03-16,E030,797.2007788129927,96,3,8.304174779302008
M2,loeo,2021-03-17,E013,1085.4211881908498,96,4,11.306470710321351
M2,loeo,2021-03-18,E014,727.6881953215078,96,4,7.580085367932373
M2,loeo,2021-03-19,E004,3539.9201209169555,96,15,36.874167926218284
M2,loeo,2021-03-20,E001,1582.1282354368186,96,7,16.48050245246686
M2,loeo,2021-03-21,E034,2347.67459278831,96,1,24.454943674878226
M2,loeo,2021-03-22,E016,928.621721869219,96,4,9.673142936137697
M2,loeo,2021-03-23,E017,994.3837437653112,96,4,10.358163997555325
M2,loeo,2021-03-24,E018,920.596788387697,96,4,9.58954987903851
M2,loeo,2021-03-25,E019,1139.89334907587,96,4,11.873889052873645
M2,loeo,2021-03-26,E004,3438.062872576103,96,15,35.81315492266774
M2,loeo,2021-03-27,E001,959.4132340401419,96,7,9.99388785458481
M2,loeo,2021-03-28,E035,1728.8561061065125,96,1,18.008917771942837
M2,loeo,2021-03-29,E021,832.6771343805483,96,3,8.673720149797377
M2,loeo,2021-03-30,E022,938.0708856781184,96,3,9.771571725813734
M2,loeo,2021-03-31,E004,9954.82553459423,96,15,103.6960993186899
M2,loeo,2021-04-01,E036,3240.3350819191455,96,3,33.75349043665776
M2,loeo,2021-04-02,E037,2210.2335822948844,96,3,23.02326648223838
M2,loeo,2021-04-03,E038,359.8619303570546,96,2,3.748561774552652
M2,loeo,2021-04-04,E039,2198.5014641694024,96,2,22.901056918431276
M2,loeo,2021-04-05,E036,2971.824521818322,96,3,30.95650543560752
M2,loeo,2021-04-06,E037,1142.0024160284559,96,3,11.895858500296415
M2,loeo,2021-04-07,E040,2853.646170772557,96,2,29.72548094554747
M2,loeo,2021-04-08,E041,1224.213821820646,96,2,12.75222731063173
M2,loeo,2021-04-09,E042,2593.5547999372043,96,3,27.016195832679212
M2,loeo,2021-04-10,E043,311.57402674763154,96,3,3.245562778621162
M2,loeo,2021-04-11,E044,1406.792245876151,96,4,14.654085894543238
M2,loeo,2021-04-12,E045,2472.0549992779825,96,6,25.75057290914565
M2,loeo,2021-04-13,E045,783.8815356272613,96,6,8.165432662783973
M2,loeo,2021-04-14,E045,857.7523691604081,96,6,8.934920512087585
M2,loeo,2021-04-15,E045,1053.0673691300412,96,6,10.969451761771262
M2,loeo,2021-04-16,E045,2085.6828030732413,96,6,21.72586253201293
M2,loeo,2021-04-17,E043,454.0655433598041,96,3,4.72984940999796
M2,loeo,2021-04-18,E044,388.211476212629,96,4,4.043869543881552
M2,loeo,2021-04-19,E046,1627.4698124080667,96,3,16.952810545917362
M2,loeo,2021-04-20,E046,2779.53601674661,96,3,28.953500174443857
M2,loeo,2021-04-21,E047,1657.8487503341535,96,5,17.269257815980765
M2,loeo,2021-04-22,E047,967.6467056913073,96,5,10.079653184284451
M2,loeo,2021-04-23,E047,1147.2582109010707,96,5,11.95060636355282
M2,loeo,2021-04-24,E048,424.5788128995922,96,2,4.422695967704086
M2,loeo,2021-04-25,E044,498.35945764385065,96,4,5.191244350456778
M2,loeo,2021-04-26,E049,2006.5602549008222,96,3,20.901669321883563
M2,loeo,2021-04-27,E049,1461.768727910423,96,3,15.22675758240024
M2,loeo,2021-04-28,E050,660.756786523572,96,3,6.882883192953876
M2,loeo,2021-04-29,E050,684.8917802205794,96,3,7.134289377297702
M2,loeo,2021-04-30,E047,940.1395373395288,96,5,9.793120180620091
M2,loeo,2021-05-01,E038,292.60217708966616,96,2,3.0479393446840226
M2,loeo,2021-05-02,E039,141.55815186427563,96,2,1.4745640819195378
M2,loeo,2021-05-03,E036,2302.7122782230826,96,3,23.986586231490445
M2,loeo,2021-05-04,E037,995.7516848377205,96,3,10.372413383726256
M2,loeo,2021-05-05,E051,5843.629611829003,96,1,60.87114178988545
M2,loeo,2021-05-06,E040,2497.0627177733195,96,2,26.011069976805413
M2,loeo,2021-05-07,E041,969.4241339671239,96,2,10.09816806215754
M2,loeo,2021-05-08,E043,349.10531679517254,96,3,3.636513716616381
M2,loeo,2021-05-09,E042,7770.249009117098,96,3,80.94009384496977
M2,loeo,2021-05-10,E042,1436.3449102950365,96,3,14.96192614890663
M2,loeo,2021-05-11,E052,817.3888348687426,96,1,8.514467029882736
M2,loeo,2021-05-12,E053,1156.8279704114425,96,1,12.050291358452526
M2,loeo,2021-05-13,E054,904.400689412233,96,1,9.42084051471076
M2,loeo,2021-05-14,E055,925.7964894224843,96,1,9.643713431484212
M2,loeo,2021-05-15,E056,340.960285052104,96,1,3.5516696359594166
M2,loeo,2021-05-16,E044,697.4563521389725,96,4,7.265170334780964
M2,loeo,2021-05-17,E057,1866.58904002206,96,1,19.443635833563125
M2,loeo,2021-05-18,E045,703.330873297557,96,6,7.326363263516218
M2,loeo,2021-05-19,E058,4894.939151961554,96,1,50.98894949959952
M2,loeo,2021-05-20,E059,1266.5549313175784,96,1,13.193280534558108
M2,loeo,2021-05-21,E060,811.3377727971231,96,1,8.451435133303365
M2,loeo,2021-05-22,E048,341.50571064891017,96,2,3.557351152592814
M2,loeo,2021-05-23,E061,312.7944633301515,96,1,3.258275659689078
M2,loeo,2021-05-24,E046,798.4605271682824,96,3,8.317297158002942
M2,loeo,2021-05-25,E047,966.4729951480139,96,5,10.06742703279181
M2,loeo,2021-05-26,E062,1042.9968347763304,96,1,10.864550362253441
M2,loeo,2021-05-27,E049,1128.1661936857427,96,3,11.751731184226486
M2,loeo,2021-05-28,E050,598.3963840038067,96,3,6.2332956667063195
M2,loeo,2021-05-29,E063,222.36610451954994,96,1,2.3163135887453117
M2,loeo,2021-05-30,E004,122.44352815826826,96,15,1.2754534183152944
M2,loeo,2021-05-31,E064,567.6413445361495,96,1,5.912930672251558
M2,loeo,2021-06-01,E023,741.0878665665641,96,3,7.719665276735043
M2,loeo,2021-06-02,E024,787.660901196931,96,3,8.204801054134698
M2,loeo,2021-06-03,E025,713.86561870218,96,3,7.436100194814375
M2,loeo,2021-06-04,E003,733.0370646267512,96,4,7.635802756528658
M2,loeo,2021-06-05,E001,283.83291893485335,96,7,2.956592905571389
M2,loeo,2021-06-06,E002,6398.898775101458,96,2,66.65519557397353
M2,loeo,2021-06-07,E005,585.6617998010753,96,2,6.100643747927868
M2,loeo,2021-06-08,E006,889.6210608617289,96,4,9.26688605064301
M2,loeo,2021-06-09,E028,668.5227082156091,96,3,6.963778210579261
M2,loeo,2021-06-10,E029,903.3572084288365,96,3,9.409970921133715
M2,loeo,2021-06-11,E009,731.3969719486095,96,4,7.618718457798015
M2,loeo,2021-06-12,E026,266.4626637506469,96,6,2.7756527474025723
M2,loeo,2021-06-13,E027,127.32540701307704,96,5,1.3263063230528858
M2,loeo,2021-06-14,E010,894.5551594104286,96,3,9.318282910525298
M2,loeo,2021-06-15,E011,849.3284501469004,96,4,8.84717135569688
M2,loeo,2021-06-16,E030,742.6541779751756,96,3,7.735981020574745
M2,loeo,2021-06-17,E013,1031.8358260578439,96,4,10.748289854769206
M2,loeo,2021-06-18,E014,811.5453562735405,96,4,8.453597461182714
M2,loeo,2021-06-19,E031,472.5604242745256,96,2,4.922504419526308
M2,loeo,2021-06-20,E065,92.09241645746019,96,1,0.9592960047652103
M2,loeo,2021-06-21,E015,747.7689072218718,96,2,7.789259450227831
M2,loeo,2021-06-22,E016,913.5586386959134,96,4,9.516235819749097
M2,loeo,2021-06-23,E017,1068.606120062483,96,4,11.131313750650863
M2,loeo,2021-06-24,E018,889.4043443212854,96,4,9.264628586680056
M2,loeo,2021-06-25,E019,1081.8817238578022,96,4,11.26960129018544
M2,loeo,2021-06-26,E032,387.7440300344339,96,2,4.039000312858686
M2,loeo,2021-06-27,E066,131.20900796840922,96,1,1.3667604996709295
M2,loeo,2021-06-28,E020,784.791333668298,96,2,8.174909725711437
M2,loeo,2021-06-29,E021,772.7885670475855,96,3,8.049880906745683
M2,loeo,2021-06-30,E022,885.1851804468637,96,3,9.220678962988163
M2,loeo,2021-07-01,E067,882.641128869451,96,1,9.194178425723448
M2,loeo,2021-07-02,E068,763.3887142302987,96,1,7.951965773232278
M2,loeo,2021-07-03,E069,373.81075558943706,96,1,3.8938620373899693
M2,loeo,2021-07-04,E070,100.44575443679611,96,1,1.0463099420499595
M2,loeo,2021-07-05,E071,1131.6274152873905,96,1,11.787785575910318
M2,loeo,2021-07-06,E072,649.1479905595216,96,1,6.761958234995017
